model_family,c,class_weight,classes,positive_probability_column,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,specificity,balanced_accuracy,f1,f2,confusion_matrix,predicted_class_counts,lower,upper,review_count,review_rate,automatic_decision_coverage,auto_non_sif,auto_sif,human_positive_routed_auto_non_sif
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.39999999999999997,72,16,2,2,0.8181818181818182,0.972972972972973,0.1111111111111111,0.5420420420420421,0.8888888888888888,0.9375,"[[2, 16], [2, 72]]","{'NON_SIF_POTENTIAL': 4, 'SIF_POTENTIAL': 88}",0.29999999999999993,0.5,14,0.15217391304347827,0.8478260869565217,0,78,0
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.44999999999999996,70,14,4,4,0.8333333333333334,0.9459459459459459,0.2222222222222222,0.5840840840840841,0.8860759493670886,0.9210526315789475,"[[4, 14], [4, 70]]","{'NON_SIF_POTENTIAL': 8, 'SIF_POTENTIAL': 84}",0.39999999999999997,0.49999999999999994,10,0.10869565217391304,0.8913043478260869,4,78,2
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.44999999999999996,70,14,4,4,0.8333333333333334,0.9459459459459459,0.2222222222222222,0.5840840840840841,0.8860759493670886,0.9210526315789475,"[[4, 14], [4, 70]]","{'NON_SIF_POTENTIAL': 8, 'SIF_POTENTIAL': 84}",0.35,0.5499999999999999,23,0.25,0.75,2,67,2
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.49999999999999994,66,12,6,8,0.8461538461538461,0.8918918918918919,0.3333333333333333,0.6126126126126126,0.868421052631579,0.8823529411764706,"[[6, 12], [8, 66]]","{'NON_SIF_POTENTIAL': 14, 'SIF_POTENTIAL': 78}",0.44999999999999996,0.5499999999999999,17,0.18478260869565216,0.8152173913043478,8,67,4
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.49999999999999994,66,12,6,8,0.8461538461538461,0.8918918918918919,0.3333333333333333,0.6126126126126126,0.868421052631579,0.8823529411764706,"[[6, 12], [8, 66]]","{'NON_SIF_POTENTIAL': 14, 'SIF_POTENTIAL': 78}",0.3999999999999999,0.6,38,0.41304347826086957,0.5869565217391305,4,50,2
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,60,7,11,14,0.8955223880597015,0.8108108108108109,0.6111111111111112,0.7109609609609611,0.851063829787234,0.8264462809917357,"[[11, 7], [14, 60]]","{'NON_SIF_POTENTIAL': 25, 'SIF_POTENTIAL': 67}",0.49999999999999994,0.6,28,0.30434782608695654,0.6956521739130435,14,50,8
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,60,7,11,14,0.8955223880597015,0.8108108108108109,0.6111111111111112,0.7109609609609611,0.851063829787234,0.8264462809917357,"[[11, 7], [14, 60]]","{'NON_SIF_POTENTIAL': 25, 'SIF_POTENTIAL': 67}",0.44999999999999996,0.6499999999999999,50,0.5434782608695652,0.45652173913043476,8,34,4
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,47,3,15,27,0.94,0.6351351351351351,0.8333333333333334,0.7342342342342343,0.7580645161290323,0.6791907514450866,"[[15, 3], [27, 47]]","{'NON_SIF_POTENTIAL': 42, 'SIF_POTENTIAL': 50}",0.5499999999999998,0.6499999999999999,33,0.358695652173913,0.6413043478260869,25,34,14
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.5999999999999999,47,3,15,27,0.94,0.6351351351351351,0.8333333333333334,0.7342342342342343,0.7580645161290323,0.6791907514450866,"[[15, 3], [27, 47]]","{'NON_SIF_POTENTIAL': 42, 'SIF_POTENTIAL': 50}",0.4999999999999999,0.6999999999999998,63,0.6847826086956522,0.31521739130434784,14,15,8
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,34,0,18,40,1.0,0.4594594594594595,1.0,0.7297297297297297,0.6296296296296297,0.5151515151515151,"[[18, 0], [40, 34]]","{'NON_SIF_POTENTIAL': 58, 'SIF_POTENTIAL': 34}",0.5999999999999999,0.7,35,0.3804347826086957,0.6195652173913043,42,15,27
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.6499999999999999,34,0,18,40,1.0,0.4594594594594595,1.0,0.7297297297297297,0.6296296296296297,0.5151515151515151,"[[18, 0], [40, 34]]","{'NON_SIF_POTENTIAL': 58, 'SIF_POTENTIAL': 34}",0.5499999999999999,0.7499999999999999,61,0.6630434782608695,0.33695652173913043,25,6,14
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.7,15,0,18,59,1.0,0.20270270270270271,1.0,0.6013513513513513,0.33707865168539325,0.2411575562700965,"[[18, 0], [59, 15]]","{'NON_SIF_POTENTIAL': 77, 'SIF_POTENTIAL': 15}",0.6499999999999999,0.75,28,0.30434782608695654,0.6956521739130435,58,6,40
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.7,15,0,18,59,1.0,0.20270270270270271,1.0,0.6013513513513513,0.33707865168539325,0.2411575562700965,"[[18, 0], [59, 15]]","{'NON_SIF_POTENTIAL': 77, 'SIF_POTENTIAL': 15}",0.6,0.7999999999999999,49,0.532608695652174,0.4673913043478261,42,1,27
tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.7499999999999999,6,0,18,68,1.0,0.08108108108108109,1.0,0.5405405405405406,0.15,0.09933774834437088,"[[18, 0], [68, 6]]","{'NON_SIF_POTENTIAL': 86, 'SIF_POTENTIAL': 6}",0.6999999999999998,0.7999999999999999,14,0.15217391304347827,0.8478260869565217,77,1,59
