checkpoint,model_family,c,class_weight,classes,positive_probability_column,threshold,true_positives,false_positives,true_negatives,false_negatives,precision,recall,specificity,balanced_accuracy,f1,f2,confusion_matrix,predicted_class_counts,lower,upper,review_count,review_rate,automatic_decision_coverage,auto_non_sif,auto_sif,human_positive_routed_auto_non_sif
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.3,175,56,1,0,0.7575757575757576,1.0,0.017543859649122806,0.5087719298245614,0.8620689655172413,0.9398496240601504,"[[1, 56], [0, 175]]","{'NON_SIF_POTENTIAL': 1, 'SIF_POTENTIAL': 231}",0.19999999999999998,0.4,10,0.04310344827586207,0.9568965517241379,0,222,0
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.35,173,56,1,2,0.7554585152838428,0.9885714285714285,0.017543859649122806,0.5030576441102756,0.8564356435643564,0.9311087190527447,"[[1, 56], [2, 173]]","{'NON_SIF_POTENTIAL': 3, 'SIF_POTENTIAL': 229}",0.3,0.39999999999999997,9,0.03879310344827586,0.9612068965517241,1,222,0
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.35,173,56,1,2,0.7554585152838428,0.9885714285714285,0.017543859649122806,0.5030576441102756,0.8564356435643564,0.9311087190527447,"[[1, 56], [2, 173]]","{'NON_SIF_POTENTIAL': 3, 'SIF_POTENTIAL': 229}",0.24999999999999997,0.44999999999999996,16,0.06896551724137931,0.9310344827586207,0,216,0
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.39999999999999997,173,49,8,2,0.7792792792792793,0.9885714285714285,0.14035087719298245,0.5644611528822054,0.871536523929471,0.9381778741865511,"[[8, 49], [2, 173]]","{'NON_SIF_POTENTIAL': 10, 'SIF_POTENTIAL': 222}",0.35,0.44999999999999996,13,0.05603448275862069,0.9439655172413793,3,216,2
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.39999999999999997,173,49,8,2,0.7792792792792793,0.9885714285714285,0.14035087719298245,0.5644611528822054,0.871536523929471,0.9381778741865511,"[[8, 49], [2, 173]]","{'NON_SIF_POTENTIAL': 10, 'SIF_POTENTIAL': 222}",0.29999999999999993,0.5,34,0.14655172413793102,0.853448275862069,1,197,0
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.44999999999999996,170,46,11,5,0.7870370370370371,0.9714285714285714,0.19298245614035087,0.5822055137844612,0.8695652173913043,0.9279475982532752,"[[11, 46], [5, 170]]","{'NON_SIF_POTENTIAL': 16, 'SIF_POTENTIAL': 216}",0.39999999999999997,0.49999999999999994,25,0.10775862068965517,0.8922413793103449,10,197,2
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.44999999999999996,170,46,11,5,0.7870370370370371,0.9714285714285714,0.19298245614035087,0.5822055137844612,0.8695652173913043,0.9279475982532752,"[[11, 46], [5, 170]]","{'NON_SIF_POTENTIAL': 16, 'SIF_POTENTIAL': 216}",0.35,0.5499999999999999,69,0.2974137931034483,0.7025862068965517,3,160,2
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.49999999999999994,162,35,22,13,0.8223350253807107,0.9257142857142857,0.38596491228070173,0.6558395989974937,0.8709677419354839,0.9030100334448161,"[[22, 35], [13, 162]]","{'NON_SIF_POTENTIAL': 35, 'SIF_POTENTIAL': 197}",0.44999999999999996,0.5499999999999999,56,0.2413793103448276,0.7586206896551724,16,160,5
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.49999999999999994,162,35,22,13,0.8223350253807107,0.9257142857142857,0.38596491228070173,0.6558395989974937,0.8709677419354839,0.9030100334448161,"[[22, 35], [13, 162]]","{'NON_SIF_POTENTIAL': 35, 'SIF_POTENTIAL': 197}",0.3999999999999999,0.6,99,0.4267241379310345,0.5732758620689655,10,123,2
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,142,18,39,33,0.8875,0.8114285714285714,0.6842105263157895,0.7478195488721804,0.8477611940298507,0.8255813953488372,"[[39, 18], [33, 142]]","{'NON_SIF_POTENTIAL': 72, 'SIF_POTENTIAL': 160}",0.49999999999999994,0.6,74,0.31896551724137934,0.6810344827586207,35,123,13
existing_only,tfidf,0.5,balanced,"[np.int64(0), np.int64(1)]",1,0.5499999999999999,142,18,39,33,0.8875,0.8114285714285714,0.6842105263157895,0.7478195488721804,0.8477611940298507,0.8255813953488372,"[[39, 18], [33, 142]]","{'NON_SIF_POTENTIAL': 72, 'SIF_POTENTIAL': 160}",0.44999999999999996,0.6499999999999999,142,0.6120689655172413,0.3879310344827586,16,74,5
